"id_direccion";"alias";"id_renabap";"manzana_renabap";"terreno_renabap";"latitud";"longitud";"calle_declarada";"altura_declarada";"esquina_declarada";"direccion_en_cvf";"es_ubicable";"direccion_normalizada";"calle";"altura";"piso";"depto";"manzana";"sector";"torre";"cp";"parcela";"lote";"entre_calle_1";"entre_calle_2";"calle_esquina";"casa";"terreno";"pasillo";"pasaje";"referencia_auxiliar";"observaciones";"tira";"chacra";"macizo";"seccion";"ruta";"km";"id_revision_dir"
1329099;"FF2_2388480";1786;"15";"21";-60.7034286;-32.9118421;"SAN JOSE";"";"CABAL";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CABAL";"";"";"";"";"";"";"";"";"";"";"";"";""
1353846;"FF2_2413328";1786;"6";"2";-60.7065612;-32.9115537;"GARZON";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1352106;"FF2_2411584";1786;"37";"8";-60.7054724;-32.9114831;"SAN CAYETANO";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1357177;"FF2_2416669";1786;"4";"24";-60.7055038;-32.9128825;"OLAVARRÍA";"1300";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
681963;"FF2_591043";1786;"27";"32";-32.9118205;-60.702567;"";"";"";"PASILLO y CABAL BIS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1316079;"FF2_2375410";1786;"46";"8";-60.70244333;-32.91086;"CABAL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1326288;"FF2_2385659";1786;"25";"37";-60.7024344;-32.9126654;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1429719;"FF2_2492845";1786;"3";"24";-60.70496484;-32.91334538;"ATACALCO";"6016";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
691361;"FF2_600443";1786;"39";"22";-32.91220386;-60.70504809;"Olavarria 1415 Bis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
690736;"FF2_599818";1786;"40";"1";-32.91261479;-60.70371047;"Pasaje Uno 2697";"";"";"SCHWEITZER entre SIN NOMBRE y CABAL BIS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1316031;"FF2_2375362";1786;"33";"19";-60.7009886;-32.9125714;"OTTONE";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1341413;"FF2_2400840";1786;"44";"18";-60.7044884;-32.9136425;"OLAVARRIA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
7861;"FF2_008659";1786;"1";"63";-32.91464906;-60.70539692;"Juan B Justo 6036";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1325405;"FF2_2384775";1786;"40";"1";-60.7036443;-32.9128482;"MAXIMILIANO COLBERT 2674";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1353857;"FF2_2413339";1786;"7";"3";-60.7064909;-32.9106257;"GARZON";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
684776;"FF2_593856";1786;"15";"75";-32.91217426;-60.70369564;"San Jose Sin Numero EMPALME GRANERO";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1315457;"FF2_2374785";1786;"34";"69";-60.7011371;-32.9120614;"OTTONE BIS";"1301";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1353106;"FF2_2412588";1786;"6";"25";-60.7061473;-32.9105519;"GARZON";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1344151;"FF2_2403589";1786;"20";"38";-60.702915;-32.91051833;"M CABAL";"1416";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
681795;"FF2_590874";1786;"19";"41";-32.90938792;-60.70418426;"";"";"";"CALLE 1482 BIS entre CABAL BIS y OLAVARRÍA BIS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
699349;"FF2_608446";1786;"42";"62";-32.91387697;-60.70314899;"Cabal 1251 Bis Int 1";"";"";"CABAL BIS entre PJE QUITO y PJE LABARDEN";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
678963;"FF2_588041";1786;"32";"1";-32.91231667;-60.70095333;"Virginio Y Otone Al 1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1353856;"FF2_2413338";1786;"36";"5";-60.7065134;-32.9117407;"GARZON";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1347331;"FF2_2406779";1786;"12";"11";-60.70546844;-32.91039186;"SAN CAYETANO";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1346586;"FF2_2406033";1786;"13";"102";-60.7054865;-32.9100134;"NAMUNCURA";"1600 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1326289;"FF2_2385660";1786;"43";"1";-60.7035526;-32.9138292;"CABAL 1500 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1429700;"FF2_2492819";1786;"37";"37";-60.7057056;-32.9114439;"";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1541 BIS";"SAN CAYETANO";"";"";"";"";"";"";"";"";""
1346596;"FF2_2406043";1786;"6";"28";-60.70534581;-32.91058324;"SAN TANO";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1352988;"FF2_2412470";1786;"21";"6";-60.7060085;-32.9116808;"SAN CAYETANO";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1018690;"FF2_2016043";1786;"25";"2";-32.91201877;-60.70281807;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1352108;"FF2_2411586";1786;"36";"50";-60.7059854;-32.9125055;"GARZON";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
689178;"FF2_598259";1786;"8";"76";-32.90944167;-60.70635667;"Garzon 1540 Bis";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
7842;"FF2_008640";1786;"1";"22";-32.9142087;-60.70533253;"Guaycuru 2735";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1326297;"FF2_2385668";1786;"25";"11";-60.7029441;-32.9128122;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1356458;"FF2_2415950";1786;"6";"41";-60.70573222;-32.91116528;"SAN TANO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1315440;"FF2_2374768";1786;"27";"18";-60.7021951;-32.9111912;"SAN FRANCISCO";"";"SAN JOSE";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1360727;"FF2_2420235";1786;"4";"48";-60.7055824;-32.9131846;"SUEWSER";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1391032;"FF2_2450677";1786;"15";"84";-60.7043635;-32.9126603;"";"2694";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
681750;"FF2_590829";1786;"20";"6";-32.91087135;-60.70310455;"Maria De Los Angeles 1600 bis";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1325499;"FF2_2384869";1786;"25";"12";-60.70278;-32.91282333;"CABAL";"1200 BIS";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1344026;"FF2_2403464";1786;"47";"57";-60.7035038;-32.9100729;"CABAL 1500 BIS";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1351259;"FF2_2410731";1786;"7";"41";-60.7054389;-32.910374;"SAN CAYETANO 1600";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
1326746;"FF2_2386118";1786;"40";"22";-60.7034911;-32.9128111;"CABAL";"";"";"Dirección declarada sin informar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
