Id_Instit;Cue;Id_Plan;Nombre;Anio;Anio_Estudio;Anios_Estructura;Varon;Mujer;Total;Oferta
5756;062064600;7257;Técnico Superior en Electrónica;2º;2021;4;15;4;19;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;3º;2021;4;14;5;19;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;4º;2021;4;16;5;21;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;1º;2019;4;18;5;23;Superior Técnico;
5756;062064600;7257;Técnico Superior en Electrónica;2º;2019;4;15;5;20;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;2º;2021;4;12;6;18;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;3º;2021;4;15;6;21;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;4º;2021;4;15;6;21;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;1º;2019;4;15;8;23;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;2º;2019;4;16;7;23;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;3º;2019;4;15;8;23;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;4º;2019;4;16;6;22;Superior Técnico;
5756;062064600;106;Técnico en Equipos e Instalaciones Electromecánicas;1º;2021;4;15;6;21;Superior Técnico;
